strategy,vix_threshold,buy_ratios,buy_target_ratio,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_buy_count,window_count,initial_ratio
VIX,35.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.5, 0.5)",287.99099530885974,258.33536857121214,-44.8725598696022,1127.6772130352288,11.801393125248948,13.613245880497837,-5.781370520132856,28.501565767390467,46.546550529087895,68.35764979599195,0.0,7.0,209,0.2
VIX,30.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",309.65324578281155,211.6542616356186,-62.58825446788416,1043.7508952956978,11.799190333830193,12.038505481109741,-9.363986137429869,27.594849710465464,49.349730100577624,83.54012244269478,0.0,8.0,209,0.4
VIX,35.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.7, 0.3)",270.08748752581204,215.80575275255552,-37.054218597520226,1032.8111264812594,11.799087792217463,12.186862834754365,-4.523462019315816,27.472279068503468,40.90566489215481,65.1383508383929,0.0,13.0,209,0.0
VIX,30.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.7, 0.3)",311.07024743260325,212.34275819379693,-63.45853728144372,1041.1054692053751,11.7922726663975,12.063232095514454,-9.577066402202028,27.565307037894684,49.494790098219724,83.53698279473181,0.0,8.0,209,0.4
VIX,30.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.7, 0.3)",314.00624117276334,211.35389105731855,-64.9615066819649,1038.2647200678252,11.789081762020382,12.027702588504386,-9.956049140573587,27.533514390442537,49.80434556553862,83.53019013474582,0.0,6.0,209,0.4
VIX,30.0,"(0.7, 0.7, 0.7, 0.7, 0.7)","(0.7, 0.3)",317.0543663831559,213.06397988823718,-66.244730151756,1037.650937484145,11.785914340427098,12.089081446423112,-10.291383613914263,27.52663577518275,50.08401973795065,83.53677907153397,0.0,5.0,209,0.4
VIX,35.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.7, 0.3)",268.53936649552844,219.88308859956538,-36.196801687362445,1027.8352110039646,11.77748466144505,12.330871440082337,-4.394198885732036,27.416175404151577,40.50778258903855,65.15655882420106,0.0,14.0,209,0.0
VIX,35.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.7, 0.3)",266.390065827563,220.50166746932481,-33.80075364632214,1024.3311853044,11.773605215117406,12.352574716691379,-4.0410903616590055,27.376533532448644,39.11921025807965,65.19684033814998,0.0,17.0,209,0.0
VIX,30.0,"(0.3, 0.5, 0.5, 0.7, 0.7)","(0.5, 0.5)",328.9657349566038,212.51717361797768,-65.2916571550678,1191.2131853961678,11.763864050449577,12.069488250295212,-10.041255033603013,29.15160131076164,51.378197995330325,85.17673887435491,0.0,6.0,209,0.4
VIX,30.0,"(0.3, 0.5, 0.7, 0.7, 0.7)","(0.5, 0.5)",330.978570413567,212.99708084433203,-66.01435331398783,1204.475877387657,11.758891995602989,12.086685970086375,-10.230345475623547,29.28365012656984,51.56195622403189,85.17452560619758,0.0,6.0,209,0.4
